,section1,section2
29,"{'km_range': [3.626, 3.708], 'properties': {3: 'Redresseerstrook'}, 'geometry': <LINESTRING (148506 408177, 148499 408168, 148491 408158, 148477 408139, 148...>}","{'km_range': [1.793, 4.37], 'properties': {'Baanpositie': 'R', 'Wegnummer': 65, 1: 'Rijstrook', 2: 'Rijstrook'}, 'geometry': <LINESTRING (148088 407562, 148099 407577, 148155 407660, 148240 407787, 148...>}"
30,"{'km_range': [121.132, 121.265], 'properties': {4: 'Vluchtstrook'}, 'geometry': <LINESTRING (149226 408432, 149221 408421, 149214 408404, 149206 408385, 149...>}","{'km_range': [119.996, 141.468], 'properties': {'Baanpositie': 'L', 'Wegnummer': 2, 1: 'Rijstrook', 2: 'Rijstrook', 3: 'Rijstrook'}, 'geometry': <LINESTRING (157126 390417, 157102 390448, 157078 390481, 157053 390512, 157...>}"
31,"{'km_range': [2.975, 3.24], 'properties': {2: 'Vluchtstrook'}, 'geometry': <LINESTRING (148907 408650, 148890 408642, 148866 408632, 148854 408627, 148...>}","{'km_range': [2.95, 3.294], 'properties': {'Baanpositie': 'R', 'Wegnummer': 65, 1: 'Rijstrook'}, 'geometry': <LINESTRING (148763 408382, 148775 408397, 148783 408403, 148790 408409, 148...>}"
33,"{'km_range': [118.81, 119.122], 'properties': {2: 'Vluchtstrook'}, 'geometry': <LINESTRING (151009 409649, 151018 409647, 151023 409645, 151028 409643, 151...>}","{'km_range': [118.81, 119.122], 'properties': {'Baanpositie': 'R', 'Wegnummer': 2, 1: 'Rijstrook'}, 'geometry': <LINESTRING (151009 409649, 151018 409647, 151023 409645, 151028 409643, 151...>}"
34,"{'km_range': [118.713, 119.049], 'properties': {2: 'Vluchtstrook'}, 'geometry': <LINESTRING (150965 409466, 150988 409472, 151042 409498, 151060 409506, 151...>}","{'km_range': [118.54, 119.049], 'properties': {'Baanpositie': 'L', 'Wegnummer': 2, 1: 'Rijstrook'}, 'geometry': <LINESTRING (150965 409466, 150988 409472, 151042 409498, 151060 409506, 151...>}"
35,"{'km_range': [118.407, 118.647], 'properties': {6: 'Vluchtstrook'}, 'geometry': <LINESTRING (151562 409710, 151541 409705, 151502 409697, 151418 409680, 151...>}","{'km_range': [117.764, 119.122], 'properties': {'Baanpositie': 'R', 'Wegnummer': 2, 1: 'Rijstrook', 2: 'Rijstrook', 3: 'Rijstrook', 4: 'Rijstrook'}, 'geometry': <LINESTRING (150895 409462, 150930 409480, 150965 409501, 150982 409511, 150...>}"
36,"{'km_range': [121.546, 121.735], 'properties': {4: 'Puntstuk'}, 'geometry': <LINESTRING (149129 408039, 149129 408030, 149129 408010, 149129 407970, 149...>}","{'km_range': [119.996, 141.468], 'properties': {'Baanpositie': 'R', 'Wegnummer': 2, 1: 'Rijstrook', 2: 'Rijstrook', 3: 'Rijstrook'}, 'geometry': <LINESTRING (157111 390408, 157090 390439, 157054 390485, 157024 390523, 156...>}"
37,"{'km_range': [117.764, 118.407], 'properties': {5: 'Vluchtstrook'}, 'geometry': <LINESTRING (152088 410039, 152063 410004, 152050 409989, 152038 409974, 152...>}","{'km_range': [117.764, 119.122], 'properties': {'Baanpositie': 'R', 'Wegnummer': 2, 1: 'Rijstrook', 2: 'Rijstrook', 3: 'Rijstrook', 4: 'Rijstrook'}, 'geometry': <LINESTRING (150895 409462, 150930 409480, 150965 409501, 150982 409511, 150...>}"
38,"{'km_range': [3.708, 3.755], 'properties': {3: 'Puntstuk'}, 'geometry': <LINESTRING (148457 408111, 148454 408106, 148430 408071)>}","{'km_range': [1.793, 4.37], 'properties': {'Baanpositie': 'R', 'Wegnummer': 65, 1: 'Rijstrook', 2: 'Rijstrook'}, 'geometry': <LINESTRING (148088 407562, 148099 407577, 148155 407660, 148240 407787, 148...>}"
39,"{'km_range': [2.8, 2.91], 'properties': {2: 'Vluchtstrook'}, 'geometry': <LINESTRING (149188 408654, 149186 408652, 149182 408648, 149179 408645, 149...>}","{'km_range': [2.791, 3.01], 'properties': {'Baanpositie': 'L', 'Wegnummer': 65, 1: 'Rijstrook'}, 'geometry': <LINESTRING (149189 408492, 149190 408495, 149190 408504, 149189 408509, 149...>}"
40,"{'km_range': [121.428, 121.545], 'properties': {2: 'Vluchtstrook'}, 'geometry': <LINESTRING (149113 408163, 149114 408136, 149116 408098, 149118 408069, 149...>}","{'km_range': [121.428, 121.735], 'properties': {'Baanpositie': 'R', 'Wegnummer': 2, 1: 'Rijstrook'}, 'geometry': <LINESTRING (149113 408163, 149114 408136, 149116 408098, 149118 408069, 149...>}"
41,"{'km_range': [119.996, 120.045], 'properties': {4: 'Puntstuk'}, 'geometry': <LINESTRING (150135 409031, 150100 409024, 150091 409022)>}","{'km_range': [119.996, 141.468], 'properties': {'Baanpositie': 'L', 'Wegnummer': 2, 1: 'Rijstrook', 2: 'Rijstrook', 3: 'Rijstrook'}, 'geometry': <LINESTRING (157126 390417, 157102 390448, 157078 390481, 157053 390512, 157...>}"
42,"{'km_range': [121.075, 121.23], 'properties': {4: 'Vluchtstrook'}, 'geometry': <LINESTRING (149237 408493, 149229 408477, 149220 408459, 149210 408437, 149...>}","{'km_range': [119.996, 141.468], 'properties': {'Baanpositie': 'R', 'Wegnummer': 2, 1: 'Rijstrook', 2: 'Rijstrook', 3: 'Rijstrook'}, 'geometry': <LINESTRING (157111 390408, 157090 390439, 157054 390485, 157024 390523, 156...>}"
44,"{'km_range': [121.4, 121.632], 'properties': {2: 'Vluchtstrook'}, 'geometry': <LINESTRING (149145 407948, 149153 407960, 149153 407970, 149154 407980, 149...>}","{'km_range': [121.4, 121.632], 'properties': {'Baanpositie': 'L', 'Wegnummer': 2, 1: 'Rijstrook'}, 'geometry': <LINESTRING (149145 407948, 149153 407960, 149153 407970, 149154 407980, 149...>}"
46,"{'km_range': [120.06, 120.572], 'properties': {4: 'Vluchtstrook'}, 'geometry': <LINESTRING (150069 409033, 149964 409002, 149906 408985, 149868 408973, 149...>}","{'km_range': [119.996, 141.468], 'properties': {'Baanpositie': 'R', 'Wegnummer': 2, 1: 'Rijstrook', 2: 'Rijstrook', 3: 'Rijstrook'}, 'geometry': <LINESTRING (157111 390408, 157090 390439, 157054 390485, 157024 390523, 156...>}"
47,"{'km_range': [119.24, 119.351], 'properties': {3: 'Puntstuk'}, 'geometry': <LINESTRING (150805 409383, 150731 409338, 150705 409315)>}","{'km_range': [119.128, 119.898], 'properties': {'Baanpositie': 'L', 'Wegnummer': 2, 1: 'Rijstrook', 2: 'Rijstrook'}, 'geometry': <LINESTRING (150898 409440, 150731 409338, 150705 409315, 150671 409295, 150...>}"
48,"{'km_range': [2.794, 2.96], 'properties': {2: 'Vluchtstrook'}, 'geometry': <LINESTRING (149177 408489, 149178 408493, 149178 408503, 149177 408512, 149...>}","{'km_range': [2.657, 3.03], 'properties': {'Baanpositie': 'L', 'Wegnummer': 65, 1: 'Rijstrook'}, 'geometry': <LINESTRING (149083 408392, 149148 408442, 149152 408445, 149155 408448, 149...>}"
49,"{'km_range': [117.8, 118.256], 'properties': {3: 'Vluchtstrook'}, 'geometry': <LINESTRING (152095 409990, 152081 409973, 152072 409961, 152059 409947, 152...>}","{'km_range': [116.8, 119.301], 'properties': {'Baanpositie': 'L', 'Wegnummer': 2, 1: 'Rijstrook', 2: 'Rijstrook'}, 'geometry': <LINESTRING (152381 410952, 152380 410948, 152352 410813, 152340 410759, 152...>}"
